step,loss,ema_loss,val_loss,lr,tokens_per_sec
2900,4.443518,4.669237,4.653815,0.00001159,1164.59
2920,4.618034,4.587106,,0.00004131,1252.53
2920,4.705037,4.670359,,0.00001000,1081.38
2940,4.687867,4.595257,,0.00003835,1016.70
2940,4.772357,4.680664,,0.00001000,1063.52
2960,4.267071,4.544759,,0.00003545,1114.57
2960,4.362167,4.632899,,0.00001000,1186.09
2980,4.589819,4.534437,,0.00003262,1207.63
2980,4.675278,4.623261,,0.00001000,1247.50
3000,4.427602,4.544206,4.615291,0.00002986,1177.95
3000,4.523682,4.634559,4.648610,0.00001000,1058.45
3020,4.590107,4.558444,,0.00002719,1049.19
3020,4.677540,4.648996,,0.00001000,1053.87
3040,4.559979,4.572599,,0.00002461,1035.58
3040,4.648983,4.663639,,0.00001000,1058.07
3060,4.652123,4.560279,,0.00002212,1142.93
3060,4.740392,4.652382,,0.00001000,1155.57
3080,4.443730,4.547932,,0.00001974,1182.44
3080,4.540976,4.640964,,0.00001000,1235.32
3100,4.576206,4.550664,4.486116,0.00001746,1099.08
3120,4.356773,4.536200,,0.00001531,1114.07
3140,4.575171,4.552060,,0.00001327,1294.48
3160,4.443987,4.538546,,0.00001200,1354.56
3180,4.446943,4.535330,,0.00001200,1749.17
3200,4.520892,4.533210,4.586166,0.00001200,1542.85
3220,4.510459,4.548988,,0.00001200,1608.70
3240,4.484666,4.558091,,0.00001200,1783.82
3260,4.292411,4.570528,,0.00001200,1907.79
3280,4.746557,4.556395,,0.00001200,1782.62
3300,4.673343,4.533708,4.470159,0.00001200,1770.40
3320,4.545591,4.565150,,0.00001200,1838.16
3340,4.375927,4.531806,,0.00001200,1942.76
3360,4.651525,4.569460,,0.00001200,1849.37
3380,4.480357,4.563943,,0.00001200,1651.29
3420,4.646353,4.570109,,0.00001260,1650.50
3440,4.473898,4.552397,,0.00002460,1808.55
3460,4.518027,4.557728,,0.00003660,1812.01
3480,4.456930,4.570980,,0.00004860,1672.55
3500,4.730415,4.572579,4.566016,0.00005850,1765.70
3520,4.601673,4.565410,,0.00005786,1485.01
3540,4.624063,4.534636,,0.00005710,1591.13
3560,4.480419,4.503387,,0.00005624,1826.31
3580,4.486388,4.534201,,0.00005528,1717.15
3600,4.597459,4.521312,4.575885,0.00005421,1707.50
3620,4.459928,4.521658,,0.00005306,1773.59
3640,4.492121,4.466922,,0.00005180,1422.92
3660,4.641144,4.472313,,0.00005047,1808.56
3680,4.472508,4.493741,,0.00004905,1790.52
3700,4.533410,4.510696,4.491989,0.00004756,1711.23
3720,4.378015,4.480781,,0.00004600,1677.18
3740,4.570632,4.485120,,0.00004437,1638.95
3760,4.406245,4.507129,,0.00004269,1724.60
3780,4.643130,4.514831,,0.00004096,1671.31
3800,4.592683,4.519279,4.507896,0.00003918,1758.14
3820,4.524965,4.517321,,0.00003737,1736.75
3840,4.176806,4.457562,,0.00003553,1568.30
3860,4.437839,4.488782,,0.00003367,1592.73
3880,4.515018,4.488774,,0.00003179,1716.98
3900,4.725138,4.496617,4.612711,0.00002991,1789.65
3920,4.512464,4.481622,,0.00002802,1700.31
3940,4.603343,4.473400,,0.00002615,1776.56
3960,4.361457,4.483370,,0.00002429,1847.85
3980,4.487471,4.500823,,0.00002245,1626.66
4000,4.400719,4.487638,4.505627,0.00002064,1666.33
4020,4.598589,4.469242,,0.00001887,1708.09
4040,4.360737,4.464727,,0.00001714,1663.04
4060,4.494415,4.496066,,0.00001546,1752.03
4080,4.580202,4.507546,,0.00001385,1638.32
4100,4.268121,4.496479,4.563935,0.00001229,1775.99
4120,4.543798,4.501283,,0.00001080,1955.55
4140,4.608522,4.509304,,0.00000939,1599.06
4160,4.185263,4.462246,,0.00000807,1186.37
4180,4.511399,4.453302,,0.00000682,1674.83
4200,4.359964,4.468168,4.556759,0.00000600,1432.86
4220,4.519247,4.484238,,0.00000600,1269.57
4240,4.494749,4.501263,,0.00000600,1543.07
4260,4.584975,4.488700,,0.00000600,1656.95
4280,4.374412,4.478744,,0.00000600,1525.72
4300,4.513051,4.482433,4.433222,0.00000600,1479.18
4320,4.288617,4.471408,,0.00000600,1539.74
4340,4.509212,4.489242,,0.00000600,1792.18
4360,4.385829,4.476279,,0.00000600,1751.13
4380,4.387347,4.474472,,0.00000600,1490.63
4420,4.886820,4.835030,,0.00000840,1842.13
4440,4.539588,4.759789,,0.00001640,2185.32
4460,4.026139,4.425234,,0.00002440,1306.43
4480,3.364890,3.931075,,0.00003240,1238.93
4500,2.813565,3.366227,2.528290,0.00003955,1117.23
4520,2.294191,2.785466,,0.00003936,1002.77
4540,1.972754,2.324271,,0.00003913,950.51
4560,1.578453,1.934147,,0.00003887,977.13
4580,1.377621,1.660223,,0.00003858,1054.70
4600,1.248176,1.419241,0.969904,0.00003825,965.99
4620,1.040357,1.236411,,0.00003790,962.68
4640,0.962551,1.076612,,0.00003751,966.47
4660,0.866542,0.977764,,0.00003709,982.57
4680,0.682768,0.898806,,0.00003664,985.61
4700,0.716927,0.813612,0.674535,0.00003616,963.61
4720,0.821717,0.780159,,0.00003565,996.60
4740,0.897543,0.746175,,0.00003511,1011.49
4760,0.601022,0.678843,,0.00003455,1033.94
4780,0.489196,0.665469,,0.00003396,1069.36
4800,0.598256,0.636067,0.463420,0.00003335,1047.26
4820,0.465077,0.606355,,0.00003272,1017.57
4840,0.521235,0.578879,,0.00003206,1059.45
4860,0.420291,0.538398,,0.00003138,995.72
4880,0.844640,0.564052,,0.00003068,1037.54
4900,0.525761,0.547446,0.394186,0.00002996,1017.10
4920,0.383402,0.561814,,0.00002923,1007.61
4940,0.390367,0.518494,,0.00002848,1479.41
4960,0.567748,0.530446,,0.00002771,1959.79
4980,0.541955,0.520344,,0.00002693,1872.96
5000,0.597077,0.495242,0.421237,0.00002614,1809.14
5020,0.692006,0.506546,,0.00002534,1855.87
5040,0.517699,0.473193,,0.00002453,1937.68
5060,0.452458,0.493133,,0.00002371,1925.36
5080,0.396728,0.470624,,0.00002288,1928.72
5100,0.423688,0.460397,0.352523,0.00002205,81.24
5120,0.383734,0.449102,,0.00002121,2021.21
5140,0.651605,0.452681,,0.00002038,1719.73
5160,0.552224,0.438722,,0.00001954,1689.14
5180,0.433590,0.444202,,0.00001870,1894.39
5200,0.513574,0.455211,0.326479,0.00001787,1865.28
5220,0.303535,0.408141,,0.00001704,1761.53
5240,0.297538,0.412727,,0.00001621,1859.48
5260,0.304066,0.404111,,0.00001539,1823.76
5280,0.441878,0.435791,,0.00001458,1932.36
5300,0.416396,0.412612,0.362541,0.00001378,1844.11
5320,0.288309,0.393714,,0.00001299,1886.49
5340,0.283435,0.398998,,0.00001221,1864.98
5360,0.384031,0.389852,,0.00001145,1891.80
5380,0.296689,0.407570,,0.00001070,1738.70
5400,0.425595,0.419288,0.303407,0.00000996,1695.34
5420,0.347158,0.415357,,0.00000925,1729.31
5440,0.446752,0.386675,,0.00000855,1881.54
5460,0.335828,0.393421,,0.00000787,1897.25
5480,0.306067,0.402665,,0.00000722,1850.96
5500,0.479072,0.405468,0.275571,0.00000659,1593.38
5520,0.328817,0.386494,,0.00000598,1910.58
5540,0.316544,0.408672,,0.00000539,1891.74
5560,0.567660,0.400568,,0.00000483,1898.40
5580,0.264194,0.402825,,0.00000430,1774.27
5600,0.491160,0.398427,0.329282,0.00000400,1598.91
5620,0.487459,0.404991,,0.00000400,1543.30
5640,0.519635,0.395743,,0.00000400,1657.64
5660,0.380836,0.405660,,0.00000400,1938.40
5680,0.433473,0.421023,,0.00000400,1639.29
5700,0.410712,0.405110,0.290322,0.00000400,1876.11
5720,0.359662,0.402414,,0.00000400,1625.98
5740,0.349031,0.394322,,0.00000400,1703.54
5760,0.317130,0.376216,,0.00000400,1718.92
5780,0.339920,0.356709,,0.00000400,1953.70
5800,0.436846,0.378465,0.309182,0.00000400,1878.49
5820,0.426319,0.378843,,0.00000400,1899.04
5840,0.335076,0.381495,,0.00000400,1925.01
5860,0.274144,0.384087,,0.00000400,1920.24
5880,0.348344,0.382393,,0.00000400,1756.71
5920,4.441612,2.949326,,0.00000420,1839.66
5940,4.389806,3.629760,,0.00000820,1623.16
5960,4.221079,4.044259,,0.00001220,1457.15
5980,3.851834,4.061150,,0.00001620,1668.77
6000,3.001298,3.982191,4.399344,0.00001974,1876.98
6020,4.263030,3.829096,,0.00001963,1760.68
6040,4.389596,3.846930,,0.00001950,1862.56
6060,3.984128,3.779092,,0.00001935,1850.88
6080,2.786005,3.697000,,0.00001919,1867.50
6100,3.218687,3.561854,3.684936,0.00001900,1802.81
6120,3.479900,3.467664,,0.00001880,1862.28
6140,3.637775,3.460579,,0.00001857,1859.11
6160,3.145726,3.476546,,0.00001833,1831.89
6180,2.977957,3.407706,,0.00001808,1832.38
6200,2.834350,3.376963,4.438156,0.00001780,1803.82
6220,3.855473,3.446639,,0.00001752,1754.10
6240,3.912646,3.462546,,0.00001721,1844.69
6260,3.439144,3.510124,,0.00001689,1816.23
6280,3.854058,3.503749,,0.00001656,1818.40
6300,3.147248,3.563446,4.239187,0.00001622,1781.49
6320,3.414337,3.442357,,0.00001586,1821.58
6340,3.657809,3.453859,,0.00001549,1856.37
6360,2.606230,3.489741,,0.00001511,1794.88
6380,4.204249,3.711749,,0.00001472,1842.89
6400,3.706645,3.588047,3.875665,0.00001432,1811.91
6420,3.729593,3.475213,,0.00001391,1797.66
6440,2.842228,3.455804,,0.00001349,1871.15
6460,4.230974,3.523044,,0.00001307,1841.35
6480,3.375077,3.362091,,0.00001264,1840.38
6500,3.198343,3.383593,3.845605,0.00001220,1838.49
6520,3.654502,3.540871,,0.00001176,1858.96
6540,3.428203,3.462816,,0.00001132,1840.93
6560,3.174202,3.401263,,0.00001087,1874.75
6580,2.598666,3.280886,,0.00001043,1840.62
6600,3.352838,3.321900,4.042999,0.00000998,1798.86
6620,4.224551,3.383937,,0.00000953,1803.31
6640,3.768138,3.331384,,0.00000908,1803.82
6660,3.753349,3.450450,,0.00000864,1830.64
6680,2.972996,3.379798,,0.00000819,1820.22
6700,4.073738,3.487608,3.945632,0.00000775,1783.91
6720,3.018248,3.400869,,0.00000732,1841.49
6740,4.118115,3.381080,,0.00000689,1837.75
6760,3.893859,3.428772,,0.00000647,1863.67
6780,3.565929,3.414958,,0.00000605,1859.99
6800,3.532350,3.407667,3.341641,0.00000564,1829.74
6820,3.227172,3.421836,,0.00000524,1815.24
6840,2.941514,3.387943,,0.00000485,1885.61
6860,3.025400,3.413805,,0.00000447,1880.70
6880,3.470983,3.535757,,0.00000410,1871.54
6900,4.311505,3.528421,4.249350,0.00000375,1660.32
6920,3.652084,3.312336,,0.00000340,1790.79
6940,3.368953,3.300314,,0.00000307,1863.47
6960,2.773712,3.290779,,0.00000276,1843.60
6980,3.321418,3.365242,,0.00000245,1848.40
7000,4.515454,3.294111,3.442536,0.00000217,1828.68
5520,0.459652,0.388680,,0.00000500,1918.01
5540,0.465504,0.420007,,0.00001000,1839.90
5560,0.460270,0.395261,,0.00001500,1877.70
5580,0.461103,0.390973,,0.00002000,1879.24
5600,0.640088,0.405369,0.322210,0.00001940,1812.67
5620,0.431745,0.404390,,0.00001914,1830.43
5640,0.317041,0.405195,,0.00001883,1876.06
5660,0.320377,0.387165,,0.00001848,1894.36
5680,0.293154,0.399728,,0.00001809,1873.94
5700,0.336187,0.355659,0.227216,0.00001766,1845.68
5720,0.481522,0.349873,,0.00001719,1870.85
5740,0.319985,0.356124,,0.00001669,1905.59
5760,0.404679,0.368622,,0.00001616,1866.40
5780,0.238684,0.350166,,0.00001559,1877.36
5800,0.382861,0.368367,0.269289,0.00001500,1800.15
5820,0.404748,0.370152,,0.00001438,1638.05
5840,0.431837,0.362640,,0.00001375,1762.10
5860,0.447952,0.354094,,0.00001309,1877.89
5880,0.352806,0.352919,,0.00001242,1863.75
5900,0.250252,0.353089,0.202746,0.00001174,1815.13
5920,0.275672,0.352520,,0.00001105,1565.89
5940,0.288800,0.335121,,0.00001035,1591.17
5960,0.307558,0.350811,,0.00000965,1705.91
5980,0.348775,0.328975,,0.00000895,1598.03
6000,0.306622,0.319618,0.247576,0.00000826,1460.27
6020,0.298620,0.327250,,0.00000758,1530.49
6040,0.302553,0.329459,,0.00000691,1661.34
6060,0.558367,0.353437,,0.00000625,1654.58
6080,0.284775,0.331848,,0.00000562,1802.69
6100,0.224433,0.318380,0.227734,0.00000500,1799.81
6120,0.220388,0.328965,,0.00000441,1553.09
6140,0.223848,0.304569,,0.00000384,1584.23
6160,0.232314,0.309742,,0.00000331,1697.50
6180,0.273838,0.327066,,0.00000281,1646.24
6200,0.280638,0.333439,0.249313,0.00000234,1693.02
6220,0.374687,0.322868,,0.00000200,1632.35
6240,0.217966,0.309270,,0.00000200,1758.78
6260,0.287243,0.313133,,0.00000200,1560.84
6280,0.295944,0.323877,,0.00000200,1581.04
6300,0.377742,0.321191,0.258318,0.00000200,1498.76
6320,0.406245,0.316389,,0.00000200,1612.31
6340,0.216959,0.312754,,0.00000200,1548.93
6360,0.299223,0.319752,,0.00000200,1606.10
6380,0.383798,0.327019,,0.00000200,1571.26
6400,0.286126,0.307771,0.229728,0.00000200,1741.75
5920,0.797341,0.653715,,0.00000375,1930.43
5940,1.217729,0.776826,,0.00000750,1700.71
5960,0.994262,0.792863,,0.00001125,1714.73
5980,0.843765,0.852786,,0.00001500,1558.96
6000,0.521345,0.822668,0.646833,0.00001455,1595.93
6020,0.583647,0.780043,,0.00001435,1720.93
6040,0.869543,0.779602,,0.00001412,1611.76
6060,0.766184,0.728925,,0.00001386,1651.16
6080,0.666174,0.732570,,0.00001357,1682.93
6100,0.802036,0.762611,0.514491,0.00001325,1587.28
6120,0.594688,0.729249,,0.00001290,1729.22
6140,0.868453,0.712791,,0.00001252,1749.52
6160,0.812475,0.711794,,0.00001212,1717.76
6180,0.808963,0.701013,,0.00001169,1729.38
6200,0.805998,0.707916,0.448973,0.00001125,1588.30
6220,0.551580,0.662416,,0.00001079,1530.21
6240,0.560750,0.689897,,0.00001031,1753.79
6260,1.018731,0.700346,,0.00000982,1736.48
6280,0.396240,0.638000,,0.00000931,1896.67
6300,0.792604,0.657963,0.412619,0.00000880,1814.62
6320,0.654062,0.643855,,0.00000828,1694.05
6340,0.449550,0.616708,,0.00000776,1656.38
6360,0.831067,0.603248,,0.00000724,1850.55
6380,0.572366,0.637609,,0.00000672,1704.16
6400,0.507948,0.651705,0.412413,0.00000620,1771.00
6420,0.823246,0.626512,,0.00000569,1717.79
6440,0.298072,0.633119,,0.00000518,1635.38
6460,0.576840,0.615286,,0.00000469,1699.00
