step,loss,ema_loss,val_loss,lr,tokens_per_sec
3480,2.623009,2.441577,,0.00007201,2122.27
3500,2.174647,2.334366,,0.00007192,2133.38
3520,2.430197,2.294338,,0.00007183,2132.76
3540,2.254081,2.295533,,0.00007174,2130.52
3560,2.388814,2.397284,,0.00007165,2138.12
3580,2.464174,2.381162,,0.00007156,2139.74
3600,2.259466,2.319163,4.084088,0.00007147,2133.26
3620,2.373484,2.329776,,0.00007137,2117.21
3640,2.268320,2.317017,,0.00007128,2115.66
3660,2.852252,2.360027,,0.00007119,2083.97
3680,2.191781,2.272217,,0.00007110,2112.19
3700,2.316477,2.249724,,0.00007100,2130.45
3720,2.188766,2.297519,,0.00007091,2121.35
3740,1.740173,2.280040,,0.00007082,2109.52
3760,2.301154,2.286762,,0.00007072,2149.65
3780,2.458353,2.299466,,0.00007063,2140.82
3800,2.459427,2.365057,3.745737,0.00007053,2122.75
3820,2.455174,2.254216,,0.00007044,2059.34
3840,1.933465,2.227291,,0.00007034,2103.28
3860,2.490386,2.260016,,0.00007024,2117.18
3880,2.200343,2.259087,,0.00007015,2125.51
3900,1.963632,2.217577,,0.00007005,2090.20
3920,2.481996,2.228955,,0.00006995,2091.69
3940,2.574297,2.295089,,0.00006985,2113.15
3960,2.547927,2.319354,,0.00006975,2132.84
3980,2.308711,2.319031,,0.00006965,2144.10
4000,2.295317,2.304439,2.851371,0.00006956,2098.89
4020,2.381837,2.235971,,0.00006946,2091.75
4040,2.268731,2.253613,,0.00006936,2153.22
4060,1.955636,2.210039,,0.00006925,2136.30
4080,1.720364,2.170692,,0.00006915,2148.74
4100,2.659846,2.259790,,0.00006905,2145.29
4120,2.430462,2.291814,,0.00006895,2109.71
4140,2.384041,2.298233,,0.00006885,2118.43
4160,1.875213,2.242396,,0.00006875,2105.08
4180,1.855468,2.235686,,0.00006864,2144.01
4200,2.580626,2.261472,3.667113,0.00006854,2116.96
4220,2.221575,2.221626,,0.00006844,2119.69
4240,2.350541,2.251447,,0.00006833,2151.68
4260,2.366655,2.211689,,0.00006823,2141.77
4280,2.161903,2.205434,,0.00006812,2120.71
4300,2.035097,2.193402,,0.00006802,2118.71
4320,2.297720,2.242204,,0.00006791,2108.30
4340,1.919902,2.158235,,0.00006780,2117.67
4360,2.467151,2.177650,,0.00006770,2117.58
4380,1.991046,2.242159,,0.00006759,2113.69
4400,2.102078,2.330154,3.383653,0.00006748,2100.39
4420,2.325290,2.303640,,0.00006738,2107.76
4440,1.936334,2.225336,,0.00006727,2125.10
4460,2.981599,2.262322,,0.00006716,2113.85
4480,2.461175,2.243142,,0.00006705,2133.64
4500,2.430150,2.172925,,0.00006694,2121.83
4520,2.052598,2.225001,,0.00006683,2097.70
4540,2.327791,2.265591,,0.00006672,2112.42
4560,2.305571,2.210424,,0.00006661,2117.34
4580,2.297901,2.179635,,0.00006650,2064.51
4600,1.894707,2.181707,3.946752,0.00006639,2084.49
4620,1.586481,2.104530,,0.00006628,2104.25
4640,1.944497,2.173832,,0.00006617,2114.51
4660,1.927822,2.152442,,0.00006606,2123.03
4680,2.880692,2.158584,,0.00006594,2117.65
4700,2.122837,2.148477,,0.00006583,2131.39
4720,2.212189,2.212680,,0.00006572,2086.04
4740,2.079271,2.198781,,0.00006561,2112.28
4760,1.958037,2.101104,,0.00006549,2122.70
4780,2.463718,2.102513,,0.00006538,2102.88
4800,2.530717,2.140960,3.481871,0.00006526,2062.72
4820,1.856794,2.170362,,0.00006515,2083.20
4840,2.078443,2.125304,,0.00006503,2118.06
4860,2.107764,2.095221,,0.00006492,2105.15
4880,2.005435,2.096907,,0.00006480,2115.40
4900,2.455550,2.084620,,0.00006469,2121.98
4920,1.703312,2.155728,,0.00006457,2092.24
4940,2.204976,2.143839,,0.00006445,2129.32
4960,1.852934,2.091834,,0.00006433,2126.15
4980,1.692661,2.073336,,0.00006422,2140.25
5000,2.343856,2.102770,3.815838,0.00006410,2117.96
5020,2.473300,2.162901,,0.00006398,2139.71
5040,1.486990,2.153509,,0.00006386,2124.26
5060,2.233593,2.102750,,0.00006374,2089.31
5080,2.324132,2.108952,,0.00006362,2124.21
5100,2.703669,2.207187,,0.00006351,2122.81
5120,1.716316,2.057889,,0.00006339,2117.52
5140,1.880220,2.081924,,0.00006327,2134.61
5160,2.010668,2.114239,,0.00006315,2117.72
5180,2.239286,2.131293,,0.00006302,2088.37
5200,2.298089,2.136296,3.833271,0.00006290,2098.83
5220,2.002962,2.032929,,0.00006278,2102.81
5240,1.964738,2.170224,,0.00006266,2110.62
5260,1.684653,2.042838,,0.00006254,2125.54
5280,1.850428,2.158983,,0.00006242,2134.66
5300,2.369981,2.150056,,0.00006229,2117.59
5320,2.207213,2.113176,,0.00006217,2119.86
5340,1.819153,2.078666,,0.00006205,2145.45
5360,2.098164,2.007782,,0.00006192,2121.59
5380,1.847548,2.071745,,0.00006180,2136.64
5400,2.286406,2.036609,3.537660,0.00006168,2108.24
5420,2.081024,2.017331,,0.00006155,2120.17
5440,2.130075,2.029275,,0.00006143,2103.87
5460,2.159408,2.096683,,0.00006130,2126.14
5480,1.992486,2.052432,,0.00006118,2112.53
5500,2.026204,2.039197,,0.00006105,2080.02
5520,2.039876,2.008890,,0.00006093,2066.54
5540,1.916463,1.996409,,0.00006080,2099.57
5560,1.887712,2.029650,,0.00006067,2118.15
5580,1.730096,2.028882,,0.00006055,2122.54
5600,2.041002,2.063616,2.831659,0.00006042,2125.19
5620,2.159786,2.068471,,0.00006029,2093.27
5640,1.972152,2.051739,,0.00006016,2124.47
5660,1.707019,1.949554,,0.00006004,2134.28
5680,1.975632,2.041336,,0.00005991,2141.36
5700,1.748251,2.045206,,0.00005978,2087.87
5720,2.121783,2.072679,,0.00005965,2080.30
5740,2.420027,1.994143,,0.00005952,2093.25
5760,1.894449,1.967450,,0.00005939,2136.58
5780,2.172066,2.035015,,0.00005926,2056.41
5800,2.069741,2.095565,3.408325,0.00005913,2087.15
5820,2.210197,2.149314,,0.00005900,2096.67
5840,1.966909,2.101826,,0.00005887,2154.56
5860,2.525768,2.080947,,0.00005874,2116.78
5880,1.898876,2.111687,,0.00005861,2116.53
5900,1.408929,1.941296,,0.00005848,2125.60
5920,2.305316,1.996020,,0.00005835,2120.45
5940,2.018466,2.002827,,0.00005822,2126.17
5960,2.310237,2.064774,,0.00005809,2128.88
5980,1.919028,1.958637,,0.00005796,2131.78
6000,2.158189,1.974490,3.197166,0.00005782,2112.73
6020,1.870349,1.952521,,0.00005769,2046.68
6040,2.183943,2.052225,,0.00005756,2117.86
6060,2.228714,2.012779,,0.00005742,2124.49
6080,2.443477,2.028528,,0.00005729,2127.93
6100,1.875532,2.048591,,0.00005716,2121.76
6120,1.679072,1.942821,,0.00005702,2124.29
6140,2.182592,2.020522,,0.00005689,2138.59
6160,1.875716,2.022037,,0.00005676,2118.48
6180,2.280202,1.993680,,0.00005662,2130.76
6200,2.455658,2.029172,3.405474,0.00005649,2113.80
6220,1.467115,2.038004,,0.00005635,2123.49
6240,1.759411,1.961988,,0.00005622,2103.36
6260,1.912095,1.960030,,0.00005608,2133.58
6280,1.451951,1.967141,,0.00005595,2135.89
6300,2.255559,1.971745,,0.00005581,2145.18
6320,1.991691,1.973848,,0.00005568,2126.62
6340,1.711891,1.978316,,0.00005554,2112.68
6360,2.084332,1.989275,,0.00005540,2124.83
6380,2.181108,2.045328,,0.00005527,2117.58
6400,2.151767,1.893729,3.128828,0.00005513,2099.82
6420,2.222234,1.976111,,0.00005499,2039.15
6440,2.499509,2.014470,,0.00005486,2104.82
6460,1.876901,2.052679,,0.00005472,2113.24
6480,1.669740,2.007535,,0.00005458,2124.85
6500,1.786070,1.962770,,0.00005444,2133.12
6520,1.354530,1.920440,,0.00005430,2130.66
6540,2.245307,1.872562,,0.00005417,2125.82
6560,2.015687,1.927776,,0.00005403,2134.20
6580,1.716084,1.849875,,0.00005389,2052.89
6600,1.834920,1.927495,3.790171,0.00005375,2067.33
6620,1.854016,1.861293,,0.00005361,2066.03
6640,2.166303,1.987662,,0.00005347,2051.07
6660,2.080322,2.008594,,0.00005333,2064.48
6680,1.553972,1.897356,,0.00005319,2114.85
6700,1.576701,1.895789,,0.00005305,2116.45
6720,2.050273,1.974515,,0.00005291,2089.06
6740,1.764139,1.927587,,0.00005277,2118.68
6760,1.753169,1.954838,,0.00005263,2126.77
6780,1.910065,1.934136,,0.00005249,2126.18
6800,1.674134,1.894279,3.563781,0.00005235,2122.58
6820,1.626669,1.933226,,0.00005221,2115.76
6840,1.866214,1.894134,,0.00005207,2110.63
6860,1.970567,1.894257,,0.00005193,2132.87
6880,2.038287,1.905159,,0.00005179,2136.82
6900,2.251299,1.891005,,0.00005165,1894.45
6920,1.430586,1.899542,,0.00005151,2080.95
6940,2.222042,1.868590,,0.00005137,2089.71
6960,1.403069,1.904188,,0.00005122,2099.76
6980,2.430361,1.909362,,0.00005108,2112.87
7000,1.850887,1.929992,3.045066,0.00005094,2112.61
7020,2.517009,1.964669,,0.00005080,2126.65
7040,2.013070,1.978184,,0.00005065,2083.82
7060,1.823270,1.993827,,0.00005051,2048.30
7080,2.046894,1.894997,,0.00005037,2098.53
7100,1.700418,1.897435,,0.00005023,2087.12
7120,2.010158,1.888426,,0.00005008,2112.44
7140,1.713066,1.844421,,0.00004994,2134.91
7160,1.824109,1.831978,,0.00004980,2110.86
7180,1.804257,1.888134,,0.00004965,2112.10
7200,1.552409,1.826210,3.842332,0.00004951,2104.11
7220,1.894436,1.839184,,0.00004937,2088.10
7240,1.915682,1.873403,,0.00004922,2122.96
7260,2.121038,1.913692,,0.00004908,2107.95
7280,1.890433,1.918187,,0.00004893,2106.82
7300,2.127382,1.965634,,0.00004879,2128.48
7320,1.964195,1.904272,,0.00004865,2108.86
7340,1.743357,1.876490,,0.00004850,2114.80
7360,1.686369,1.901808,,0.00004836,2074.48
7380,2.129678,1.883151,,0.00004821,2108.76
7400,2.414340,1.954018,2.639872,0.00004807,2091.77
